SDS 2.4	AQ Results	1.0
Filename	24 09 2021 hexamers
PlateID	
Assay Type	Absolute Quantification
Run DateTime	24.09.21 12:12:23
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
49	C1	SYBR	SYBR	Unknown	23.015432	85.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
50	C2	SYBR	SYBR	Unknown	Undetermined	93.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335						true			true				
51	C3	SYBR	SYBR	Unknown	22.0	93.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
52	C4	SYBR	SYBR	Unknown	21.38899	89.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
53	C5	SYBR	SYBR	Unknown	23.680353	81.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
55	C7	SYBR	SYBR	Unknown	23.086323	85.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
56	C8	SYBR	SYBR	Unknown	25.18489	89.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
57	C9	SYBR	SYBR	Unknown	21.387346	85.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
58	C10	SYBR	SYBR	Unknown	21.77394	86.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
59	C11	SYBR	SYBR	Unknown	23.531824	81.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
61	C13	SYBR	SYBR	Unknown	21.780378	86.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
62	C14	SYBR	SYBR	Unknown	23.398376	89.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
63	C15	SYBR	SYBR	Unknown	20.675562	85.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
64	C16	SYBR	SYBR	Unknown	20.477207	87.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
65	C17	SYBR	SYBR	Unknown	22.741583	81.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
67	C19	SYBR	SYBR	Unknown	21.950619	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
68	C20	SYBR	SYBR	Unknown	23.774141	89.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
69	C21	SYBR	SYBR	Unknown	21.119606	85.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
70	C22	SYBR	SYBR	Unknown	20.982445	90.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
71	C23	SYBR	SYBR	Unknown	23.225018	83.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
